project;plan
paragraphs_button;"8.x-1.1 is compatible with Drupal 9."
pug;"The module is fully compatible with Drupal 9."
memory_limit_policy;"This module is compatible with Drupal 9 starting 8.x-1.2 release."
lupus_ce_renderer;"The module is compatible with Drupal 9 since beta1."
field_group_metadata;"This module is fully ready for Drupal 9!"
sendgrid_api;"Fully compatible with Drupal 9."
watchdog_delete_filter;"This module has been checked and passed the tests for correctness and Drupal 9 deprecation errors provided by Drupal Check PHPStan tool: <a href=""https://github.com/mglaman/drupal-check"">https://github.com/mglaman/drupal-check</a>"
paypal_subscriptions;[#3084836]
feedback;"Porting to Drupal 8 and 9 is happening in the <code>3.x</code> branch."
syncer;"Supports D9."
change_user_route;"3.0.x is Drupal 9 compatible"
filter_empty_tags;"This module is available on both D8 and D9."
helloworld;[#3082507]
multivaluefield;"Drupal 9 ready"
wikipedia_client;"This module should be Drupal 9 compatible."
jquery_scrollup;"Compatible with Drupal 9"
media_field_formatters;"Compatible as of 8.x-1.0-rc3."
modal_widget;"This module is Drupal 9 ready."
burndown;"This module is Drupal 9 ready."
ex_icons;"This module is compatible with Drupal 9."
comment_limit;"8.x-1.0-rc1+ is Drupal 9 compatible."
alias_manager;"Drupal 9 is also supported."
bcc;"The Beta branch is Drupal 9 ready."
simpler_quickedit;"Fully compatible with D9"
iubenda_integration;"3.0.0-alpha1+ is Drupal 9 compatible."
bulk_author_update;"This module is already fully compatible with Drupal 9"
shortcode_social;"Drupal 9 is supported for version 8.x-1.1 and above"
yg_freelancer;"Theme is Drupal 9 Ready!"
danse;"This project is ready for Drupal 9"
custom_login_url;"Custom Login Url supports Drupal 9"
require_revision_log_message;"Drupal 9 ready."
ui_patterns_pattern_lab;"Drupal 9 compatible since 8.x-1.0-alpha6"
xhprof;"Help improve it at [#3121379]"
entity_reference_preview;"This module is compatible with Drupal 9"
graphql_entity_by_object;"This module is ready for D9!"
url_replace_filter;"Version 1.0 is compatible with Drupal 9."
media_sitemap;"Media sitemap 8.x-1.0+ supports Drupal 9."
media_iframe;"This module is Drupal 9 compatible."
flatcomments;"Compatible with Drupal 9"
notify;"Looking for a co-maintainer. Please see [#3196744]."
smartmenus;"* There are no plans for a Drupal 9 version of this module."
at_corolla;"Drupal 9 compatible"
twitter;"Use this project instead: <em>TBD</em>"
contextual_filter_range_validator;"<a href=""https://www.drupal.org/project/contextual_filter_range_validator/releases/8.x-1.1"">Views Contextual Filter Validator: Number Range 8.x-1.1</a> supports Drupal 9."
rng_conflict;"Not yet."
translate_tool;"This module is ready for Drupal 9."
christmas_snow;"Module is fully compatible with Drupal 9!"
math_field;[#3083212]
amunet;8/9
year;"Year is compatible with Drupal 9."
youtube_import;"This project is D9 Ready"
cloudflare_purge;8/9
sansdesordre;"This module is Drupal 9 ready."
aws_cloudwatchlogs;"The module is supporting Drupal 8.8 and higher versions."
rest_mail_login;"Drupal 9 READY."
disable_browser_back_button;"Fully Drupal 9 compatible as of 8.x-1.x."
counter_on_scroll;"Available for Drupal 9."
comment_approver;"Comment approver 8.x-1.x-dev supports Drupal 9. Enjoy."
graphql_menu;"8.x-1.x is Drupal 9 compatible."
facets_link_field_processors;"This module is ready for Drupal 9."
birthday_wish_mail;"This module is fully compatible with Drupal 9!"
sticky_toolbar;"This module is Drupal 9 ready."
commerce_product_taxonomy_filter;"It also supports drupal 9"
webpack;"Drupal 9 issue [#3131906]"
queue_throttle;"Release <code>8.x-1.2</code> is D9 compatible!"
ckeditor_datetime;"This module is Drupal 9 ready"
facets_short_pretty_paths;"Is Drupal 9 compatible / dependencies might need patches"
excel_importer;"This module is compatible with Drupal 9."
grid_view_bootstrap;"This is Drupal 9 ready."
first_time_login;"This module is Drupal 9 ready."
link_field_display_mode_formatter;"The module is compatible with Drupal 9"
block_place;"This is a direct port from Drupal 8 experimental core module."
popin;"This module is fully compatible with drupal 9."
govuk_theme;"Fully ported to Drupal 9"
paragraphs_bootstrap_carousel;"ready for drupal 9"
dan;"Ready for Drupal 9"
geocluster;"2.0.0+ is compatible with Drupal 9"
recurly;"Drupal 9 support was added in [#3071817], but if anything was missed, please report it in a new issue (but check for similar issues first)."
yandex_yml;"The current module version is ready to run."
description_list_field;"Ready for Drupal 9."
quote;"8.x-2.0+ is Drupal 9 compatible."
jumper;"Jumper (Jump Anywhere) 8.x supports Drupal 9. Enjoy."
sarbacane;"This module is Drupal 9 ready."
display_link_plus;"This module is ready for Drupal 9."
sharedemail_pass_reset;"Release <code>8.x-2.0</code> is D9 compatible!"
eus;"End user session 8.x-1.x supports Drupal 9. Enjoy."
chat_livehelperchat;"Drupal 9 compatible."
page_popup;"Already compatible (no deprecated API & core_version_requirement is set)"
h5p_analytics;"Current codebase should have no issues working with upcoming Drupal version 9 as soon as the main H5P module catches up."
jstree_menu;"This module is already compatible with Drupal 9."
call_now_button;"This module is Drupal 9 compatible 🍻"
youtubeapi;"Drupal 9 ready"
mailchimp_marketing;"Drupal 9 ready"
efs;"D9 compatibility 2.x branch"
follow_unfollow;"-Ported in drupal 9"
civic_breadcrumbs;"This module is compatible with drupal 9."
bean_migrate;"Compatible with Drupal 9."
fragments;"Fragments is Drupal 9 compatible. Please report any issues in the issue queue."
loco_translate;"Loco Translate is ready for Drupal 9"
commerce_checkoutcom;"This module is Drupal 9 ready"
views_argument_validator_regex;"<a href=""https://www.drupal.org/project/views_argument_validator_regex/releases/8.x-1.0"">Views Contextual Filter Validator: Regular Expression (regex) v8.x-1.0</a> supports Drupal 9."
entity_usage_views_field;"2.x branch compatible with Drupal 9"
entity_usage_integrity;"This module is Drupal 9 compatible."
commerce_ingenico;"Drupal 9 ready since 8.x-1.0-beta2"
layout_builder_customizer;"This module is Drupal 9 compatible 🍻"
translated_config;"Fully compatible with Drupal 9."
bootstrap4_tools;"Version 2.0+ is compatible with Drupal 9."
mobile_native_share;"Mobile Native Share supports Drupal 9. Enjoy."
eep;"This project is ready for Drupal 9"
time_spent;"This module is ready for Drupal 9."
entity_diff_ui;"Compatible with Drupal 9"
fasttoggle;"8.x-3.0+ is Drupal 9 compatible."
file_history;"This module are D9 ready !"
entity_reports;"Drupal 9 support is coming in 1.6."
drowl_paragraphs;"This module is Drupal 9 compatible in the latest branch."
pf_alerta;"This project is ready for Drupal 9"
services_menu;"Drupal 9 Compatible"
ajax_requirement;"This module is 100% compatible with Drupal 9."
ik_modals;"Compatibility for D9 starts at version 3.0.0 and up"
otp_verification;"Currently no known issues with Drupal 9."
drowl_layouts;"This module is Drupal 9 compatible in the latest branch."
video_embed_twentythree;"Drupal 9 supported since 8.x-1.2."
select2_multicheck;"This module is already fully compatible with Drupal 9"
vefta;"This module will not be available for drupal 9, use video_embed_field instead."
webform_remote_select;"Compatible with Drupal 9"
commerce_otpsp;"Help port this project at [#3099573]"
extra_field_configuration;"This module is compatible with Drupal 9."
web_page_archive;"Drupal 9 support is underway: [#3112530]"
text_block;"This module is fully compatible with Drupal 9."
cookie_samesite_support;"This is D9 compatible."
paragraphs_tabs_widget;"Already compatible with Drupal 9! (<a href=""https://www.drupal.org/node/3187755/qa"">see the automated test results</a>)"
context_mobile_condition;"This module is compatible with Drupal 9."
callus;"This module will work as is with Drupal 9."
git_info;"Version 2.x is Drupal 9 compatible"
trial_role;"This module has no known issues with Drupal 9"
php_password;"The latest release should support Drupal 9. Please report any issues."
barebones_enhanced;"This theme is compatible with Drupal 9."
cookie_consent_notice_by_cookieyes;[#3097028]
smart_content_paragraphs;"Drupal 9 compatibility is pending these issues from <a href=""https://www.drupal.org/project/smart_content_segments"">Smart content segments</a> being fixed: <ul>   <li><a href=""https://www.drupal.org/project/smart_content_segments/issues/3148855"">Automated Drupal 9 compatibility fixes</a></li>   <li><a href=""https://www.drupal.org/project/smart_content_segments/issues/3151673"">Update info.yml file to allow D9 compatibility</a></li> </ul>"
recombee;"This module is Drupal 9 compatible."
filter_harmonizer;"Ready for use in D8 and D9."
number_formatter;"This module is ready for Drupal 9."
galleriajs;"The module is compatible with Drupal 9."
commerce_multisafepay_payments;"This module is Drupal 9 ready."
commerce_donation_flow;"Ready for Drupal 9!"
fb_filter;"Facebook Filter 8.x-1.1 supports Drupal 9."
timetable_cron;"This module is Drupal 9 ready."
social_contact_info;"Compatible with Drupal 9"
taarikh;"8.x-1.0-alpha3 is compatible with Drupal 9"
auto_anchors;"Automatic Anchors is compatible with Drupal 9."
druppio_small_business;"This theme is Drupal 9 ready."
ckeditor_google_search;"Requires Drupal: ^8 || ^9"
dynamic_menu_item;"Module version <code>1.0</code> is Drupal 9 compatible. See issue [#3138812] for more details."
create_new_entity_reference_permission;"Drupal 9 compatible!"
notfoundpassthrough;"Page Not Found Passthrough works in Drupal 9."
migrate_source_html;"This module is Drupal 9 ready."
outlayer;"Outlayer 8.x supports Drupal 9. Enjoy."
line_awesome;"This module is Drupal 9 compatible 🍻"
search_api_recombee;"This module is Drupal 9 compatible."
popper_js;"This module is now superfluous and aspects are integrated into Drupal core."
search_api_grouping;"This module is ready for D9!"
yg_profile;"Theme ready for D9"
group_forum;"This project is ready for Drupal 9"
licensing;"The 8.x-1.x branch of this module is compatible with Drupal 9."
transaction_workflow;"This module is compatible with Drupal 9 from version 1.0-beta1 onwards"
bibcite_altmetric;"Currently no known Drupal 9 compatibility issues in latest dev."
teamleader;"This project will be compatible with Drupal 9 when it is released."
simple_live_css;"This module is Drupal 9 ready!"
mortgage_calculator;"Edit Real Estate Mortgage Calculator is compatible with Drupal 9."
text_rotator_filter;"Drupal 9 is fully supported."
field_permissions_group;"Project is compatible with Drupal 8.8 or 9."
alexa;"Drupal 9 compatible since version 1.0-rc2"
uswds_paragraph_components;"1.0.x-dev is compatible with Drupal 9."
invoice_agent;"Read more about this project’s readiness at [#3090689]."
webform_dynamic_autocomplete;"This module works for Drupal 9 as well as for Drupal 8 versions above 8.7"
expose_actions;"This project is ready for Drupal 9"
route_iframes;"Ready to be used on Drupal 9!"
academic_applications;"Help port this project at [#3124158]."
mailboxlayer;"Mailboxlayer is compatible with Drupal 9"
instagram_field;"2019-07-31: No drupal-check errors in this module"
entity_reference_finder;"Drupal 9 supported."
ekam;Compatible.
mailtoui;"This module is Drupal 9 compatible 🍻"
govuk_webform_elements;"Fully ported to Drupal 9"
env_libraries;"Env Libraries supports Drupal 9."
commerce_pvt;"Ready to roll out on D9, cleaned code and <strong>drupal-checked</strong>-ed it."
bootstrap_pointnet;"As soon as the main theme, Bootstrap 8.x, will be compatible with Drupal 9 I will start the conversion of this sub-theme"
media_pixabay;"Media Pixabay 8.x-1.0+ supports Drupal 9."
big_pipe_demo;"This module is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/big_pipe_demo/releases/8.x-1.3"">version 1.3</a>!"
commerce_tax_wa;"8.x-2.2 is compatible with Drupal 9."
http_headers_cleaner;"Http-headers cleaner supports Drupal 9"
expose_status;"This project is compatible with Drupal 9."
amazing_multiselect;"Porting this project to <strong>D9</strong> will start with <strong>Drupal 8.9</strong> first release ."
group_extras;"Ready for Drupal9"
disable_user_login_and_registration;"Compatible with Drupal 9"
single_content_sync;"The module is Drupal 9 ready"
jsonapi_reference;"No known compatibility issues with Drupal 9."
drupal_yext;"This module is Drupal 9 compatible."
media_alias_display;"1.0.x branch is Drupal 9 compatible."
commerce_sage;"Ready for testing with Drupal 9"
quicker_edit;"The maintainer will try to keep the module D9 ready from the stable release day. See [#3091733]"
random_reference_formatter;"This module is D9 compatible since version 1.2"
formstack;"Use version ^3.0.0"
rating_field;"This module should be ready for D9 as there is no deprecated code and works with 8.7.6 as well."
download_statistics;"This module is Drupal 9 ready."
image_background_formatter;"Drupal 9 is also supported."
barebones;"This theme is compatible with Drupal 9."
webform_media;"Drupal 9 compatible 🎉"
disable_autopopulate_rform;"This module is compatible with Drupal 9."
field_group_bootstrap;"support drupal 9"
file_to_media;"This module is D9 compatible 😎"
tag_formatter;"This module is ready for Drupal 9."
mapbox_ui;"Release 8.x-1.3 or higher is D9 compatible!"
hover_card;"This module is Drupal 9 ready."
page_hits;"Module fully compatible with Drupal 9."
simpleads;"Drupal 8/9 version support is available for purchase https://downloads.minnur.com/drupal/simpleads"
reference_blocked_users;8/9
taxonomy_custom_controller;"Ready as it will release."
ctc;"Clear Cache Tag 8.x-1.x supports Drupal 9. Enjoy."
twitter_api;"The 8.x-1.x branch supports Drupal 9"
scheduled_transitions_sidebar;"2.x branch is compatible with Drupal 8 and 9."
content_as_config;"This module is fully Drupal 9 compatible."
html5_audio_player;"We are ready to port this module in Drupal 9."
acquia_purge_varnish;8/9
bestreply;"8.x-3.x branch is Drupal 9 compatible."
crossword;"8.x-1.x-dev is compatible with D9."
corona_live_tracker;"Ported to D9"
uswds_ckeditor_integration;"1.0.x branch is compatible with Drupal 9."
monitoring_hrm;"Version 1.1 is compatible with D8.8 + D9.0"
user_password_randomizer;"Compatible with Drupal 9"
block_library;"Ready for Drupal 9!"
breadcrumb_field;"Breadcrumb field module is compatible"
drowl_media;"This module is Drupal 9 compatible in the latest branch."
age_exposed_filter;"The module is ready for Drupal 9."
tab_manager;"Compatible with Drupal 9."
url_restriction_by_role;"This module is already fully compatible with Drupal 9"
disable_enable_all_assign_block;"Disable And Enable All Assign Block is fully compatible with Drupal 9!"
gdpr_video;"Ready now for D8.9 and D9.x"
commerce_direct_tax_field;"Not tested."
google_analytics_vimeo;"Use <a href=""https://www.drupal.org/project/google_analytics_vimeo/releases/8.x-1.1-alpha1"">8.x-1.1-alpha1</a>."
docbinder;"Drupal 9 is fully supported since version 1.1."
pdf_html;"Should be ready for use on Drupal 9"
linkychecker;"Compatible with Drupal 8 and 9."
ip_lookup;"This module currently uses no deprecated code and should be compatible with Drupal 9 upon its release."
migrate_process_extras;"8.x-1.0-beta3 and above are D9 compatible ✨"
commerce_payu;"D8 version will also D9 compatible."
popup_link_formatter;"Tested and it's working."
prehome;"This module is Drupal 9 compliant."
ckeditor_preview;"Drupal 9 compatible."
behat_ui;"<strong>Works and ready for Drupal 9.</strong>"
form_filter_fields;"We will work to have this available for D9 in the coming months. Issue created here: https://www.drupal.org/project/form_filter_fields/issues/3214818"
content_editing_message;"This module is already fully compatible with Drupal 9!"
aws_s3_key_checker;"This module is ready for Drupal 9"
alternative_user_emails;"Probably D9 ready, but not tested."
token_var;"Token Variable 8.x-1.0+ supports Drupal 9."
libraries_delay_load;"2.0+ is compatible with Drupal 9"
iubenda;"Drupal-9 compatible as of version 1.0-alpha3."
mosaicformatter;"No plan to port to Drupal 9"
layout_builder_asset;"2.0.0-alpha1+ are compatible with Drupal 9."
braintree_cashier;"The Drupal 9 version of Braintree Cashier will probably be much leaner in order to improve maintainability. It will focus on only essential features, such as signing up with Braintree's Drop-in UI, listing charges, enabling cancelation with an optional cancel message, supporting free trials, email notification of upcoming free trial expiry, optionally accepting PayPal, and optionally disallowing the use of the same payment method on multiple accounts. Features that will probably not be implemented include discounts, PDF invoices, Views to display billing plans, localized display of currency, and switching between billing plans."
term_glossary;"This will have a stable Drupal 9 Release."
commerce_trustedshops;"Commerce TrustedShops is ready for Drupal 9"
webform_sendgrid;"Compatible with Drupal 9."
term_quick_edit;"Term Quick Edit supports Drupal 9. Enjoy."
commerce_shopping_hours;"This module is Drupal 9 ready."
ui_patterns_entity_links;"Already compatible (no deprecated API & core_version_requirement is set)"
blazy_video_embed_field;"Use 2.0+ of this module."
block_component_library;"We're happy to announce that this module is Drupal 9 compatible! :)"
pipedrive;"The 9 version is a complete rewrite but will cover all existing functionality."
kaltura_media;"This module is compatible with both Drupal 8.8 and Drupal 9"
honey;"This theme was created for Drupal 9."
social_links;"Supported as of 8.x-2.0!"
mailjet_sign_up;"This module is Drupal 9 ready."
potion;"Potion is ready for Drupal 9"
limit_domain_access_by_role;"Tested on Drupal 9 and confirmed fully functional."
commerce_btcpay;"Drupal 9 ready as of 8.x-1.0-alpha4"
info_messages;"Info Messages 8.x-1.1+ supports Drupal 9. Enjoy."
cart_item_count;"Currently, it is in active development phase. it will be available very soon for D9."
toastify;"Drupal 9 is also supported!"
login_frequency;"Drupal 9 compatible from 8.x-1.2 version."
personal_id;"This module is Drupal 9 compatible."
link_no_protocol;"This project will be compatible with Drupal 9 when it is released."
commerce_ifthenpay;"This module is Drupal 9 compatible 🍻"
pmfs;"Supports Drupal 9!"
file_update;"Ported to D9."
kafka;"Drupal 9 port issue is [#3122332]"
scheduled_message;"2.x branch is now compatible with Drupal 9!"
dynamic_breadcrumb;"Release <code>8.x-1.1</code> is D9 compatible!"
spamaway;"It's D9 ready baby!"
digital_signage_framework;"This project is ready for Drupal 9"
yunke_captcha;"It already works for D9"
site_settings_path_alias;"This module is ready for Drupal 9!"
elui;"This module should already be compatible with Drupal 9. So if you find any depricated code please create an issue for it. Or an issue with a patch is even better :)"
batch_jobs;"The Batch Jobs project has been ported to Drupal 9 although there may be additional work as additional changes are made to Drupal 9."
erl_restriction;"This module is ready for D9!"
commerce_coinpayments;"Commerce Coinpayments 8.x-1.1+ supports Drupal 9. Enjoy."
vrssfa;"8.x-1.3+ is Drupal 9 compatible."
ckeditor_giella;"The module is Drupal 9 compatible."
foldershare_rest;"Adds drupal 9 compatibility, now requires drupal 8.7+, includes client bug fixes."
commerce_product_reminder;"Drupal 9 ready"
word_monitor;"This module is Drupal 9-compatible."
crop_image;"This module is compatible with Drupal 9"
custom_solr_search;"Custom SOLR search 8.x-2.0+ supports Drupal 9."
anonymous_publishing;"This project relies on community support (patches and sponsorship) to complete porting to Drupal 8 and Drupal 9."
real_estate;"The module is Drupal 9 compatible."
rokka;"Branch 2.x supports Drupal 9."
students;[#3082548]
simple_lazyloader;"Help port this project at [#3088976]"
roundabout;"<p>This module has no identified issues and should be ready.</p>"
media_entity_consent;"This module is compatible with Drupal 9 (tested by drupal-check)"
node_body_class;"Compatible with Drupal 9"
muuri;"Release <code>8.x-1.2</code> is D9 compatible!"
amp_optimizer;"Compatible with Drupal 9"
signageos;"This project is ready for Drupal 9"
site_per_path;"This module is ready for Drupal 9."
custom_entity_pager;"This module is already compatible with Drupal 9."
group_webform;"Drupal 9 readiness added"
log_cache_tags;"This will be available in Drupal 9."
gitlab_api;"This project is ready for Drupal 9"
link_fix_absolute_urls;"The module is fully compatible with D9."
entity_edit_redirect;"fully compatible since v1.6"
layout_builder_backgrounds;"Layout Builder Backgrounds is compatible with Drupal 9."
drowl_header_slides;"This module is Drupal 9 compatible in the latest branch."
google_places_search_form;"8.x-2.0 is compatible for Drupal 9"
views_data_export_phpspreadsheet;"Compatible with drupal 9"
hanging_conjunctions_filter;"This module supports Drupal 9."
ckeditor_layouts;"This module is natively build for Drupal 9."
cache_entity_type;"Compatible with Drupal 9"
entity_clone_template;"8.x-1.+ is compatible with Drupal 9"
config2php;"Drupal 9 is fully supported since version 2.0.0-beta1"
commerce_banca_intesa;"This module is Drupal 9 ready."
site_version;"Compatible with Drupal 9"
ymb;"8.x-2.0+ is Drupal 9 compatible."
dialog_api;"8.x-1.x-dev is Drupal 9 compatible."
openy_autocomplete_path;"Not ready for Drupal 9. Needs some work in order to rely on filtering by bundle. See https://www.drupal.org/project/openy_autocomplete_path/issues/3189806"
pirate;"8.x-1.1 onwards is compatible with Drupal 9."
pingdom_rum;"This module is compatible with Drupal 9 starting from the 2.0.1 release"
openid_connect_harid;"Should be fully compatible"
faker;"Release <code>8.x-2.0-alpha2</code> is D9 compatible!"
react_calendar;"2.0.0 is Drupal 9 compatible."
webform_unsubscribe;"The module is compatible with Drupal 9."
entity_role_view_mode_switcher;"Support has been added to the 2.x branch! Feel free to test and report issues"
paybox;"This module is Drupal 9 ready."
flexible_add_more_widgets;"flexible_add_more_widgets 8.x-1.x-dev supports Drupal 9"
tweet_feed;"Drupal 8 & 9 support now available."
admin_toolbar_content;"D9 ready"
fivestar_smiley;"This module is Drupal 9 ready."
image_alt;"Is Drupal 9 compatible."
seaside_admin;"This is module is Drupal 9 ready!"
styled_image;"Compatible with D9."
mynotes;"This module is Drupal 9 ready."
jivochat;"ready for it"
commerce_multisafepay;"This module is Drupal 9 ready."
image_gen;"Ready ;)"
commerce_culqi;"Supported as of 2.0.0"
csv_field;"This module is Drupal 9 ready."
nodeownership;"<strong>Parially supported</strong> <strong>8.x-1.2+</strong> will be a Drupal 9 compatible."
entity_reference_number_widget;"Full supported as of the <a href=""https://www.drupal.org/project/entity_reference_number_widget/releases/8.x-1.0"">8.x-1.0</a> release."
migrate_override;"Migrate upgrade is fully D9 compatible as of version 1.1-rc2"
slimbox2;"Once I've fine tuned the Drupal 8 version, I'll port it to Drupal 9. I will have a stable version ready for Drupal 9 on the launch of Drupal 9 in June 2020."
views_field_compare;"Fully compatible with Drupal 9."
owntracks;"OwnTracks is compatible with Drupal 9."
popup;"[#3084134] [#3148456]"
gmap_static;"<a href=""https://www.drupal.org/project/gmap_static/issues/3103471"">#3103471: Add new key core_version_requirement in gmap_static.info.yml</a>"
transliterate_twig;"Compatible with D9"
paragraph_skins;"Ready for Drupal 9"
hax;"This is already ready for Drupal 9."
tota11y;"Branch 3.0.0 is Drupal 9 ready!"
token_environment;"This module is ready for Drupal 9"
graphql_flag;"8.x-1.x is Drupal 9 compatible."
cloudflare_image_style;"This is compatible with D9."
link_context;"Drupal 9 is fully supported since version 1.0."
h5p_challenge;"Current codebase should have no issues working with upcoming Drupal version 9 as soon as the main H5P module catches up."
toolbar_responsive_search;"Officially supports D9 as of the <a href=""https://www.drupal.org/project/toolbar_responsive_search/releases/8.x-1.0-alpha2"">8.x-1.0-alpha2</a> release."
drowl_admin;"We're happy to announce that this module is Drupal 9 compatible in the 2.x branch! :)"
config_entity_cloner;"Config Entity Cloner supports Drupal 9"
save_entities;"This module is already fully compatible with Drupal 9"
dream_block_manager;Ready
something_went_wrong;"This module is Drupal 9 ready."
comment_anonymous_account_info;"Compatible with D8/D9"
dtuber;"Compatible with Drupal 9"
apidae_tourisme;"<p><strong>The version 2.0.0-alpha2 is fully compatible with drupal 9 ! </strong> \\o/</p>"
delta_filter;"Drupal 9 ready."
psv;"This module is Drupal 9 ready."
image_approval;"8.x-1.6 is compatible with Drupal 9"
entity_collector;"8.x-1.0-alpha19+ is Drupal 9 compatible."
entity_editor_tabs;"Compatible with Drupal 8 and 9"
hideblock;"Ready to be used with Drupal 9"
template_generator;"The module is porting by Drupal 9."
layout_builder_bgcolor;"Fully compatible as of 8.x-1.0-rc1."
ultimate_cron_views;"This project is now ready for Drupal 9."
claim_on_registration;"Version 1.6+ supports Drupal 9. See [#3139831] for more details."
basket_novaposhta;"This module has been updated to work with the store on Drupal 9."
qna;"8.x-1.0-alpha1+ is Drupal 9 compatible."
azure_storage;"Release <code>2.0.0</code> is D9 compatible!"
digest;"This module is fully compatible with Drupal 9."
entity_form_monitor;"This module is Drupal 9 ready."
uc_pdf_invoice_mail;"Module fully compatible with Drupal 9."
views_mark_current;"Already compatible with Drupal 9!"
commerce_epn;"This project is ready for Drupal 9!"
flashpoint;"<h2>2.0.x</h2> The Drupal 9 compatible version, 2.0.x, is now under development. The content entity structure will stay the same, but early alpha releases will begin with flashpoint_course, followed by flashpoint_community. Migration documentation will be added as modules are ported."
current_year;"This module is compatible with Drupal 9 with effect from version 1.0.1"
scripturefilter;"This module is compatible with Drupal 9 starting with release 2.0.0."
video_embed_dacast;"Fully compatible as of 8.x-1.0."
request_cleanup;"Help port this project at [#3088975]"
brreg_api;"This project is 100% compatible with Drupal 9"
mtc;"This module is fully compatible with Drupal 9!"
nextpath_bat_booking;"The module is ready for Drupal 9"
remote_config_sync;"This module is Drupal 9 ready."
filter_format_audit;"This module is D9 ready 🏖"
oh;"A Drupal 9 release will be made available in the near future."
elogger;"Can be used for D9 projects as well."
entity_collector_downloader;"8.x-1.0-alpha13+ is Drupal 9 compatible."
alpha_pagination;"Drupal 8 & Drupal 9 work is currently in the 8.x-2.x dev branch. It is ready for testing and is very close to deployment"
adsense_consent;"This module is compatible with Drupal 9 from version 1.0.0"
dev_modules;"This project is ready for Drupal 9"
adnuntius;"The module is compatible with Drupal 9."
media_library_filter;"To be reviewed"
commerce_easy;"The latest release of the module is compatible with Drupal 9."
sqrl;"This project is ready for Drupal 9"
aggrid;"Drupal 9 Ready!"
autocomplete_field_match;"Should be all set. Current version has been updated and tested. File an issue if you find one. Patches appreciated."
lingotek_copy_source;"D9 compatible"
page_notifications;"Tested on Drupal 9 and Drupal 8."
node_form_templates;"8.x-1.1 is compatible with Drupal 9."
twig_backlink;"This module is Drupal 9 ready."
oauth_server_sso;"The 8.x module is compatible with Drupal 9 as well"
config_revision;"D9 compatible."
drush_lock;"Drush Lock is compatible with Drupal 9."
fasterweb;"No Drupal 9 issues identified"
ggpushcast;"The module is ready for Drupal 9."
asana;"This module is ready for Drupal 9."
feeds_tamper_term_hierarchy;"It's Drupal 9 compatible."
cocoon_media;"This module was made ready to use with Drupal 9 on DrupalCon Amsterdam 2019! [#3075156]"
anonymous_subscriptions;"Development release is available to use/test"
vegas;"[#2923825] will make this module Drupal 9 ready."
mustache_templates;"The latest beta release is compatible with D9. Please report in the issue queue if you have any problems or if it works well for you."
athenapdf_api;"8.x-1.x-dev is Drupal 9 compatible."
social_hub;"The 2.x branch will be compatible"
gamification;"Compatible with D8 and D9"
matrix_api;"Matrix API is fully compatible with Drupal 9."
commerce_globalpay_redeban;"The module is not tested in Drupal 9 yet but the code is writing to prevent deprecated functions and will offer compatibility with this version."
commerce_fraud;"The 2.0 branch works with both Drupal 8 and 9"
commerce_giftcard;"Drupal 9 compatible"
gem_checklist;"Fully compatible with Drupal 9"
mailchimp_webform_handler;"D9 ready!"
bibcite_pubmed;"Currently no known Drupal 9 compatibility issues in latest dev."
search_365;"Ready for Drupal 9"
typedjs_filter;"Compatible with Drupal 9"
pf_email;"This project is ready for Drupal 9"
google_analytics_cookieless;"1.0+ is compatible with Drupal 9"
hosted_solr;"Drupal 9 is fully supported."
radius_login;"Currently no known issues with Drupal 9."
sitemap_status;"Is Drupal 9 ready"
folder_redirect;"The module is Drupal9 ready."
print_route;"This module must be compatible with Drupal 9."
hidden_toolbar;"This module is Drupal 9 ready. v8.x-2.1"
yunke_qrcode;"Support for Drupal 8 and Drupal 9"
papaparse;"This module is Drupal 9 ready."
social_auth_bitbucket;"Drupal 9 compatible"
xsl_formatter;"Fully compatible as of 8.x-1.0-alpha1"
product_taxonomy_term_name_depth;"Drupal 9 is here"
userpoints_expire;"Ready for Drupal 9"
botbattler;"This module is ready for D9."
cmrf_core;"This module is ported to Drupal 9."
skpr_key;"This module is compatible with Drupal 9."
log_entity_operations;"This module is fully ready for Drupal 9!"
language_popup;"Module is available for Drupal 8 as well as Drupal 9, but there may some errors in Drupal 9. Please create issue in case any error found."
jsonapi_flysystem_uploader;"Fully supported as of v8.x-1.1."
entity_link_template_condition;"Compatible with Drupal 9"
datatables_cdn;"This module is Drupal 9 ready."
notify_me;"Is here"
vbo_add_to_cart;"Work in progress for D9. it will be available very soon."
fieldmask;"Also comparable with drupal 9."
migrate_parse_textile;"Supports Drupal 8 or 9"
cache_register;<code></code>
text_attributes;"The module is compatible with Drupal 9."
timesup;"Times'up is already ready for Drupal9"
back_2_top;"This project is currently being tested for Drupal 9 compatibility."
hypothesis;"This module is ready for Drupal 9. (https://www.drupal.org/project/hypothesis/issues/3142878)"
reference_swiper;"The Module is Drupal 9 ready."
og_message;"Fully compatible as of 8.x-1.1-rc1."
yaml_sandbox;"Drupal 9 compatible."
backward_compatibility;"What's better than Drupal 9? Drupal 9 that can run Drupal 8 modules."
rcr;"1.0.0+ is Drupal 9 compatible."
archivesspace;"D9 support now available in 8.x-1.1-rc1."
plausible;"This module will support Drupal 9 at launch."
drush9_example;[#3083224]
gitinfo;"Tested on Drupal 9 and confirmed to be fully functional."
